ID,meranaw_proverb,literal_translation_meranaw,english_translation,interpretation,augmented_interpretation,Theme
1, Royo’on bo i mata na mithangkapa siran den sa ironotan sa gagaw.,Sobo so kiyaphagilaya o mata na miyakasinabotadn.,With the contact of their eyes they were drawn in affectionate desire,"When their eyes met, a strong, tender longing or romantic attraction arose between them.","""A deep, affectionate attraction sparked between them at first sight.""",Courtship/Marriage/Love
2,Kalapisan ngka waka ka malengga ka man a taw.,Kiyalapisan sekaniyan ka da pakisinabota ngegagaan.,You were replaced waka because you are slow,"You got replaced, waka — took too long to make a move.","""You missed your chance because you hesitated.""",Courtship/Marriage
3,Aya bo penayaon a rominarinaw so ig na masokat a layagen na botawanen so lansa,Ayabo penayawn a makasisinabota siran ka-an siran makapanik.,We will wait when the water is calm then we will sail.,"Let’s be patient and wait for the right time, when everything is stable and peaceful, then we’ll move forward together in our relationship.","""We should wait for the ideal moment of stability and peace before advancing our relationship.""",Courtship/Marriage/Love
4,Ba ako mambo pandi A o makaborod ko laod na ipagoman a bantog o kalangowan iyo tanan.,Ba ako mambo pandi a makatinedeg sa laod na kabantogan kano ron,"Am I a flag, which when flown in your place will add pride and dignity to everybody?",Do you see me as someone worthy enough to represent you — to bring dignity by your side?,"""Am I someone you'd be proud to have as a partner?""",Courtship/Marriage
5,Ino pen di saeyaten imosala komokopor a ino pen komokopor ka makababalebegen.,Ino kano pen di panik ka ino kapn raransan ka aden a gaga niyo.,Why not keep in open the arrogant handkerchief? It might be arrogant because it can really afford.,Why not give the proud guy a chance? Maybe he acts that way because he can actually back it up.,"""Consider giving the confident person a chance; their confidence might be justified.""",Courtship/Marriage
6,San bo sa minagirid ko karodan a mawatan na da sa minidayonan ko ragat a pembataesen.,Siibo sa katharo na da a moayaniyan.,"He is there off-shore looking at the faraway sea, But not proceeding to sail and cross the real sea.","He sees the beauty and promise of love (or marriage) from afar, but lacks the courage or readiness to take the journey and truly pursue it.","""They admire the idea of love (or marriage) but are too timid or unprepared to actively pursue it.""",Courtship/Marriage
7,"O tanto ka paginged sa Gandamato Damedag na bangoni ngka sa pandi ka an langkap sa ranao a miyapasad a malang so saromagaw ko 
ringka.",Otanto ka pangaroma na panoksam ka ka an langkap ko inged a myasapad ka.,"If really you will live in the prestigious place then erect on it a flag for this will publicly announce 
throughout the Ranao the bethrothal of the lady of the palace","If you truly intend to marry her, then you must court her properly, seek her family's blessing, and make a public announcement. This will show everyone,
that you are serious about your intentions to wed with the lady.","""To genuinely marry her, you need to court her traditionally, get her family's approval, and publicly announce your intentions to demonstrate your seriousness.""",Courtship/Marriage
8,"Somasana so ikan ka tig iyan a rek iyan so kalalangkoman iyan, takinoba ka kena, ka laod on so letingan.",Somasana so tao(mangoda) ka tigyan a skanyan e phakataros mga Roma ko bae a pagidaan iyan takinoba bes ka kna.,"Confident is the Ikan that he owns what he has but this is not so, he is far from him as 
the sky miles away like the sea.","The confident boy thinks he's already got her, but he’s really just miles away, as distant as the sky is from the sea.","""The self-assured person is mistaken; their belief is far from reality.""",Courtship/Marriage
9,Ino kon o di ako ko dowa repa binaning kay masowa aken ko sarepa mangondaya.,"Ino Kon o di Ako ko malai daradat tomo a sii Ako ko miphagayon akn.
","What will happen to me if I prefer a commoner wholely free as better as a nobleman with 
restraints twice more than a commoner.","What will happen if I choose a commoner, free from the constraints of nobility, over a nobleman who has even more restrictions than a commoner?
I would rather be with someone I can truly connect with.","""What would happen if I chose a common person, who has more freedom, over a noble person with more restrictions? I prefer someone with whom I can have a genuine connection.""",Courtship/Marriage
10,"Aya man a kandato na ibarat o kakhapal a polayagan sa akal na kalakalat so geda. Na panalongon so gagao na olinan so kawarao. 
Na pagabakan so gani na taros so Iman. Tiyotopan o pirak so kaiiisa o bangsa na likban o pelata so mona kanggiginawai. 
Na o tanto ka muslim na oba ka ki mabimban ko rambayong a kakal ka di kaon bo ketanto. Na obaka ki mabiray ko gadong a di lalayon 
ka di bo tanto kelanggay na magaan bo komelas.","Ayaman a kandato na pagosan sa akal ago geda geda na pagonaan sa gagao ago limo so pagtao. Phakaorin so 
kawarao na kenetan so gani na lalayonen ongo/syap ko pagtao. Osa imanto Aya na kyasapngan o perak o 
kathothonganaya ago so kanggiginawai. O tanto ka Muslim na obaka ki mabimban sa perak ka dibo khasanaan 
na magaambo malengan.","Leadership is like sailing a ship, which requires wisdom and skill. 
There must be kindness coupled with courage. Anger should be 
tamed and faith must be strengthened. It is not uncommon these 
days that money has become powerful than kinship and friendship,
 but if you are a true Muslim, then do not be dissuaded by money and
 worldly things for these are temporary and will soon fade.","The passage offers a reflection on leadership and life, emphasizing that effective leadership requires wisdom, kindness, courage, emotional control,
and a strong faith. It also reminds us not to be overwhelmed by the pursuit of money or material things, especially if they lead us away 
from meaningful connections and values. For a true Muslim, this world’s fleeting nature should not diminish the importance of faith and 
the relationships that really matter.","This passage reflects on leadership and life, highlighting that good leaders need wisdom, kindness, courage, self-control, and strong faith. It also advises against being consumed by the pursuit of wealth, especially if it leads us away from important relationships and principles. It reminds devout Muslims that worldly concerns shouldn't overshadow faith and meaningful bonds.""",Leadership
11,"Na o ba kalipati so taritib ago sempad ka ayaden kasabapan a iphamagayao-ayao sa kalodan sa Mindanao na perigayan so palao sa 
da a tadem ko laod na ipelabas so orog so miaka mbalabala na o migadong so sempad na kanogon o phangampong ago so 
pephagampongon.","We must not forget cultural order and laws, for its negligence will cause turmoil on the sea of Mindanao while 
the mountains seem indifferent to the sea, and waves move loosely to and fro everywhere; if the laws are forgotten
 what will happen to our motherland and her inhabitants.","We must not forget the laws and rules in our culture, for its negligence may cause chaos that 
may lead to the loss of our motherland and its inhabitants.","A call for respect and adherence to cultural traditions and values. It emphasizes the importance of maintaining the foundations of one’s culture
in order to preserve the community and nation as a whole.","This is a plea for respecting and following cultural traditions and values, stressing the need to uphold cultural foundations to protect the community and nation.""",Leadership
